tn_id,sku,nombre,marca,precio_actual,stock_actual,precio_nuevo,stock_nuevo,notas
351970135,TP380CCA43,Bersa RESORTE DEL SENSOR,Bersa,3797.50,5,,,
351970136,TPB380B23,Bersa RESORTE DEL TIRANTE DE MARTILLO,Bersa,5011.22,5,,,
351970138,T491209,Bersa RESORTE EXTERNO DEL PERCUTOR,Bersa,3002.14,5,,,
351970141,TP22A6,Bersa RESORTE EXTRACTOR,Bersa,4730.78,5,,,
351970142,T491306,Bersa RESORTE EXTRACTOR NUEVO ( POSTERIOR 2022 ),Bersa,4427.35,5,,,
351970144,T901502,Bersa RESORTE INDICADOR DE BALA EN RECAMARA,Bersa,4730.78,5,,,
351970146,TP22A18,Bersa RESORTE PALANCA DE DESARME,Bersa,4730.78,5,,,
351970147,TP22A9,Bersa RESORTE RECUPERADOR,Bersa,15479.62,5,,,
351970149,T911535,Bersa RESORTE RECUPERADOR COMPACTA 9/40 / 45,Bersa,12468.29,5,,,
351970152,T901104,Bersa RESORTE RECUPERADOR FULL 9/40,Bersa,12468.29,5,,,
351970153,TP22A10,Bersa RESORTE RECUPERADOR LIGHT - 2700g APTO PARA MUNICION STANDARD,Bersa,15631.34,5,,,
351970156,T901221,Bersa RESORTE REFUERZO DEL EXTRACTOR (ANTERIOR 2022),Bersa,4730.78,5,,,
351970158,TP22A34,Bersa RESORTE RETEN CORREDERA 22,Bersa,4008.98,5,,,
351970160,TP380A34,Bersa RESORTE RETEN DE CORREDERA,Bersa,3043.51,5,,,
351970161,T902417,Bersa RESORTE SEGURO TIRANTE DE MARTILLO,Bersa,4330.80,5,,,
351970163,TP22B16,Bersa RESORTE TIRANTE DE MARTILLO,Bersa,4730.78,5,,,
351970166,TP22B14,Bersa RESORTE TOPE DE CORREDERA,Bersa,4367.58,5,,,
351970168,T902104P-PAV,Bersa RETE CORREDERA IZQUIERDO,Bersa,15916.38,5,,,
351970173,T902105P-PAV,Bersa RETEN CORREDERA DERECHO,Bersa,15916.38,5,,,
351970174,T906000PXT-PAV,Bersa RETEN DE CARGADOR EXTENDIDO TPR - THUNDER PRO,Bersa,24212.10,5,,,
